Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Hundborg Mose;Ager/Mark;Hundborg;8728;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hundebøl;Spredt bebyggelse;Sønder Hygum;8951;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hundebøl;Spredt bebyggelse;Rødding;8949;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hundegade;Bydel;Skærbæk;9038;Tønder;550;Region Syddanmark;1083;23. maj 2013
Hundekrog;By;Finderup;7235;Kalundborg;326;Region Sjælland;1085;23. maj 2013
Hundelev;By;Jelstrup;8472;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundelev Å;Bæk;Jelstrup;8472;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundelev Å;Bæk;Sejlstrup;8409;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundelev Å;Bæk;Vejby;8408;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundelev Å;Bæk;Børglum;8406;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundemose Skov;Skov/Plantage;Øster Egede;7533;Faxe;320;Region Sjælland;1085;23. maj 2013
Hundemose Skov;Skov/Plantage;Faxe;7522;Faxe;320;Region Sjælland;1085;23. maj 2013
Hunderup;By;Hunderup;8902;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Hunderup;Bydel;Thomas Kingos;7777;Odense;461;Region Syddanmark;1083;23. maj 2013
Hunderup;Sogn;NULL;;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Hunderup Mark;Spredt bebyggelse;Hunderup;8902;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Hundested;By;Torup;7408;Halsnæs;260;Region Hovedstaden;1084;23. maj 2013
Hundhale;Bydel;Nørre Nebel;8879;Varde;573;Region Syddanmark;1083;23. maj 2013
Hundige;Bydel;Kildebrønde;7195;Greve;253;Region Sjælland;1085;23. maj 2013
Hundige;Bydel;Greve;7194;Greve;253;Region Sjælland;1085;23. maj 2013
Hundige Strand;Bydel;Kildebrønde;7195;Greve;253;Region Sjælland;1085;23. maj 2013
Hundkær;Spredt bebyggelse;Snejbjerg;8804;Herning;657;Region Midtjylland;1082;23. maj 2013
Hundsbæk Plantage;Skov/Plantage;Læborg;8932;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hundsemyre;Mose/Sump;Povlsker;7572;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Hundsemyre;Mose/Sump;Bodilsker;7570;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Hundser Odde;Odde;Boddum;8651;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hundshage;Hage;Glud;7962;Hedensted;766;Region Midtjylland;1082;23. maj 2013
Hundshale;Spredt bebyggelse;Aaker;7569;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Hundshoved;Spredt bebyggelse;Nørre Snede;7999;Ikast-Brande;756;Region Midtjylland;1082;23. maj 2013
Hundshøj;Pynt;Skødstrup;8246;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Hundskær;Spredt bebyggelse;Bedsted;8687;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hundslev;By;Notmark;8993;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Hundslev;By;Kølstrup;7800;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Hundslund;By;Hundslund;8093;Odder;727;Region Midtjylland;1082;23. maj 2013
Hundslund;Sogn;NULL;;Odder;727;Region Midtjylland;1082;23. maj 2013
Hundstoft;By;Lunde;8876;Varde;573;Region Syddanmark;1083;23. maj 2013
Hundstrup;By;Hundstrup;7683;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Hundstrup;Sogn;NULL;;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Hundstrup Å;Å;Stenstrup;7686;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Hundstrup Å;Å;Stenstrup;7686;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Hundstrup Å;Å;Hundstrup;7683;Svendborg;479;Region Syddanmark;1083;23. maj 2013
Hundstrup Å;Å;Hundstrup;7683;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
